name, rating, rd, vol
kronos 1484.182254075069 69.52775744239712 0.07954402571452439
knoff 1482.5713346971352 413.323927008418 0.07992980072227887
lift 1478.1361421400236 62.9431194549073 0.07930992856455855
peaches 1477.0720308243158 284.69428716878457 0.07994261312239179
aedrenaline 1470.3277223092302 355.9728412861866 0.07997437313407214
chair 1468.3575275879066 214.76461001121635 0.07993048318208597
alizon 1460.5543301380346 315.6353645870138 0.0799351501488303
asianjustinwong 1459.904307828749 364.6726816172078 0.0799487466017772
medic 1456.191893781235 245.0149438423488 0.07994796454840424
neki 1452.6571853632488 343.4990196782757 0.07991705122870478
tulip 1440.1437281062872 119.64647759156846 0.07983259057893222
hyper 1437.6431617043734 230.459539690021 0.07993860264764785
chaz 1437.3119103785098 272.8697232805608 0.07996220830127061
dragonbooty 1432.1692632628922 239.31626110945058 0.07993405293080569
approvedboat 1429.4321396635498 261.19560311572627 0.08010293707565824
ksc 1426.9472361660855 388.95333919361445 0.07995119131169028
jackied 1424.1203089630267 113.4340874109083 0.07989011034851136
jedcruz 1423.6315219035332 230.41539483134267 0.07994547098239986
okada 1421.632607192415 248.91375310900435 0.07993638923367419
mahman 1414.9592767439622 424.33844457781134 0.07996795656267744
alerf 1414.7306705665928 297.54632342414754 0.07994242428054824
vaynemain 1389.862883651324 127.2227039025789 0.07980892439464791
itssonic 1370.6617071466871 302.40403823832156 0.07997079495757779
bigboy 1368.7944049449054 82.90985580742637 0.07979402498934912
minnie 1367.2094669826388 403.50733400510245 0.07997806476022305
kieutea 1361.6745140150456 438.5729507463502 0.07998314786331512
dunkmaster 1356.2861549329677 200.5657535470687 0.08008701753929053
kull 1349.0454468944115 235.30555814250073 0.07986774653428154
mickey 1339.2838163221084 145.7521045710157 0.07994959617278204
cinder 1333.0295422589927 152.01655332432298 0.07997596029028059
crimsonbeast 1315.8625860109614 234.44977459601589 0.07998794775999948
merkzr 1295.015179330354 387.5390218243789 0.08000352895788619
kimil 1293.854535211952 134.0076654451925 0.07973657984656703
blueandyellowshirt 1293.389926421064 367.8258602161277 0.08002493378403383
kasey 1291.633466475996 352.19685511646094 0.08002752743094876
adrian 1285.5100475102415 177.67690304321724 0.07992261733933226
slurmzmackenzie 1283.5250398853252 307.73615704110114 0.07999139925695309
zedd 1281.2144832680278 239.8336515147968 0.07996206342335165
djkoolkids 1275.8862635257992 408.5976583931693 0.07999893210348252
amac 1270.6878573447837 316.3165973220368 0.08000537221259811
lpm 1268.5075613639267 165.38148907471543 0.07991703221696136
dumpmaster 1267.3158217351804 254.41230689180495 0.08001978969317562
noxris 1260.6886820568882 336.31848249175187 0.08000457297673758
dr.love 1260.3242512955758 149.65443919104533 0.08001387542638541
bitepunch 1257.0587046905218 439.43075059004246 0.08001526789043314
squirmple 1255.4877917422314 158.53065320119399 0.08004728201371078
jetfuel 1252.3938107954427 459.5713803274761 0.080028527633991
k-dj 1246.703009653926 372.8921780163768 0.08000377298598199
salsa 1244.1653270834463 231.5957244734141 0.0799657882258503
rin$god 1229.6227921528375 355.4284404431613 0.08008378802779692
unclegubsy 1223.0490663713797 399.62680645998716 0.08004789614138888
reich 1206.2618503315564 262.7007706623622 0.08009540754689488
taxisdue 1199.8379817414352 412.16198106742047 0.0800811411433052
zozzle 1195.054148600275 212.57949777241564 0.08007133821570894
midnight 1193.6725610744666 396.42995168710473 0.08009106335054232
finestsilver 1169.9773690892525 180.90272702071036 0.080234929351483
kcurb 1164.1526938955594 187.99723005358388 0.07993102772295574
silver 1164.0892085456464 277.06650511335204 0.08000793619108641
npo 1162.9344458667872 162.1533643890321 0.0800233901117752
hwarplz 1161.5869781371664 194.6981199997209 0.0800950109437317
rollboy 1155.753344144452 314.6876877005028 0.08006514390938292
justjohn 1151.7067763998432 224.11837295816628 0.08010911466300304
eevee 1147.3159285433367 299.24916838022347 0.08003446328428965
shift 1144.650971294883 114.08031893331145 0.07993926361552114
gundamrobot 1124.8731541296413 216.23331153990495 0.08000229335943883
nullex 1123.7026973987358 111.50455933243688 0.07995076000938936
saber 1104.4166370609094 262.36925918965875 0.08005624611346934
supershota 1102.0093489487354 379.48208115019224 0.08015883231873693
sauce 1085.723640333403 288.5151240276289 0.08011444217445883
beanfox 1076.1808830499474 206.42723966547825 0.08006612679497438
torpiid 1076.1245292364306 337.7373719665934 0.08015755504570357
hettman 1065.0242963723963 93.05605643774457 0.0798187032983971
science 986.6502929572055 233.99756266530298 0.08012025236830514
omergosh 985.9743249695043 216.04680766632896 0.08004509651411397
superloli 984.1752602015537 135.642478645518 0.07996009153324624
nessisless 939.3710998582844 371.0003202489948 0.08018092555692685
umr 914.9467224467043 274.0232785225635 0.0801772635597418
boof 853.6800885952057 333.7971560173971 0.08011901274794203
chicken 802.1437882236736 296.24713535971244 0.08023725040168332
dork 770.4678832011597 306.65877285363285 0.08020550834045202
g$ 659.9102820006465 301.85836806322277 0.08019602050013988
