name, rating, rd, vol
lillicoi 1234.6046898664208 303.459777822993 0.0800670238008374
kimil 1234.5523993049435 145.88557658117742 0.07992174381466416
lpm 1231.7523482901122 152.56028740902804 0.0799940894379109
wharplz 1229.3185359359613 256.1464649700384 0.08003853276208424
maigai 1226.9442859003177 231.08618672701937 0.08005235597855297
scrublord3000 1225.969279731291 308.58393440755054 0.0800673027893729
nate 1209.2955732520932 345.75890689242755 0.08006541099204338
butteeeers 1205.9545718905124 276.58579125515377 0.08002510155167955
dunkmaster 1200.8251640364895 230.2628704673906 0.08006727536206225
midnight 1187.5593610165786 237.39119725839686 0.08005295007476998
jetfuel 1185.1687380428962 315.486653439792 0.0800909760486648
boof 1180.2533866193444 110.8475461019586 0.07996515546930408
chickfungus 1179.700765086096 294.0895265366284 0.0800541271488816
royalty 1174.3785686830156 289.1265154476113 0.08002983089865844
cinder 1164.2119393450696 152.13382752123326 0.07995077671143025
sdk 1162.721988235449 113.91328923675175 0.07993800147115455
chaizord 1161.244057135322 317.62218289403046 0.08010769475078743
apto 1153.386312822448 241.43231591621705 0.0800891896909048
mahman 1144.8010280432643 224.28160888103503 0.08001272767352265
saber 1140.3373698005971 143.4817296995612 0.07994227748339774
moon 1136.208033944836 239.58261026539898 0.08005123781190537
jarobi 1135.4330873875203 249.57286206303914 0.08009600108623267
p0wer 1130.748533369452 313.83614076756396 0.08014536886869482
zedd 1127.7449211304279 251.1381602407563 0.08003970792993663
ravnica 1118.030461790312 277.0232480087153 0.08008426004606352
chicken 1097.1594613401396 246.04952415252473 0.08013553321520864
taylorf 1096.5147481607962 259.1222697385522 0.08010092083803644
gundamrobot 1089.6432341607815 261.1653457514423 0.08010055772232151
leflur 1082.8537791638078 284.62131377058694 0.08009496608325191
fox3345 1082.2189720278081 257.7022954906703 0.08012162281365753
hettman 1077.047572956134 163.16038505182982 0.0800219218913244
zozzle 1055.1502017723885 185.16518676578937 0.08003241609799967
merkzer 1036.332443082337 137.55095116434194 0.07999398355796915
gmoney 1020.1655449065693 252.83716666637028 0.08017484204022951
umr 1013.9277191765832 232.61922314240687 0.08014597259422455
dumpmaster 992.1510994826908 231.2646514444061 0.08014213177412445
shift 952.3422184177628 130.43791498082942 0.07998500042688854
bent 944.2937939296781 310.599666051323 0.08010574287363298
tinyshroomish 941.6241256742837 182.39843381959122 0.08004245987291246
tagless 905.0554325631922 294.7936952935554 0.08021814322860064
